Book,Author,Instructor,Semester,SemesterMonth,SemesterYear
Heart of Aztlan,"Anaya, Rudolfo","Russell, B.",Spring 2012,1,2012
Road to Tamazunchale,"Arias, Ron","Russell, B.",Spring 2012,1,2012
A Glass of Water,"Baca, Jimmy Santiago","Russell, B.",Spring 2012,1,2012
The Day of the Moon,"Limón, Graciela","Russell, B.",Spring 2012,1,2012
Caramba!,"Martinez, Nina Marie","Russell, B.",Spring 2012,1,2012
Son of Two Bloods,"Mendoza, Durango","Russell, B.",Spring 2012,1,2012
El Mesquite,"O’Shea, Elena Zamora","Russell, B.",Spring 2012,1,2012
Ceremony,"Silko, Leslie Marmon","Russell, B.",Spring 2012,1,2012
House on Mango Street,"Cisneros, Sandra","Garcia, Patricia",Spring 2012,1,2012
Woman Hollering Creek,"Cisneros, Sandra","Garcia, Patricia",Spring 2012,1,2012
…y no se low tragó la tierra/…and the earth did not swallow him,"Rivera, Tomás","Garcia, Patricia",Spring 2012,1,2012
Crazy Loco,"Rice, David","Garcia, Patricia",Spring 2012,1,2012
Borderlands/La Frontera,"Anzaldúa, Gloria ","Garcia, Patricia",Spring 2012,1,2012
Brownsville,"Casares, Oscar","Garcia, Patricia",Spring 2012,1,2012
The Revolt of the Cockroach People,"Acosta, Oscar Zeta","Cucher, Michael",Fall 2012,9,2012
Borderlands / La Frontera: The New Mestiza ,"Anzaldúa, Gloria ","Cucher, Michael",Fall 2012,9,2012
Canícula: Snapshots of a Girlhood en la Frontera,"Cantú, Norma Elia","Cucher, Michael",Fall 2012,9,2012
Brownsville,"Casares, Oscar","Cucher, Michael",Fall 2012,9,2012
So Far from God,"Castillo, Ana","Cucher, Michael",Fall 2012,9,2012
Emplumada,"Cervantes, Lorna Dee","Cucher, Michael",Fall 2012,9,2012
Woman Hollering Creek,"Cisneros, Sandra","Cucher, Michael",Fall 2012,9,2012
"Poems, Protest, and a Dream: Selected Writings","Inés de la Cruz, Sor Juana","Cucher, Michael",Fall 2012,9,2012
Zoot Suit and Other Plays,"Valdez, Luis","Cucher, Michael",Fall 2012,9,2012
House on Mango Street,"Cisneros, Sandra","Garcia, Patricia",Fall 2012,9,2012
Woman Hollering Creek,"Cisneros, Sandra","Garcia, Patricia",Fall 2012,9,2012
…y no se low tragó la tierra/…and the earth did not swallow him,"Rivera, Tomás","Garcia, Patricia",Fall 2012,9,2012
Crazy Loco,"Rice, David","Garcia, Patricia",Fall 2012,9,2012
Borderlands/La Frontera,"Anzaldúa, Gloria ","Garcia, Patricia",Fall 2012,9,2012
Brownsville,"Casares, Oscar","Garcia, Patricia",Fall 2012,9,2012
How to be a Chicana Role Model,"Serros, Michele","Garcia, Patricia",Fall 2012,9,2012
The Revolt of the Cockroach People,"Acosta, Oscar Zeta","Cucher, Michael",Spring 2013,1,2013
Borderlands / La Frontera: The New Mestiza ,"Anzaldúa, Gloria ","Cucher, Michael",Spring 2013,1,2013
Canícula: Snapshots of a Girlhood en la Frontera,"Cantú, Norma Elia","Cucher, Michael",Spring 2013,1,2013
Brownsville,"Casares, Oscar","Cucher, Michael",Spring 2013,1,2013
